index,value
643,0.997726
644,0.99789
645,0.998068
646,0.998273
647,0.998235
648,0.999742
649,1
650,1
651,1
652,1
653,1
654,1
655,1
656,1
657,1
658,1
659,1
660,1
661,1
662,0.999236
663,0.998598
664,0.999212
665,1
666,1
667,1
668,1
669,1
670,1
671,1
672,0.999158
673,0.998079
674,0.998137
675,0.998251
676,0.998176
677,0.998187
678,0.998074
679,0.998478
680,0.999051
681,0.998668
682,0.998924
683,0.999086
684,0.999103
685,0.999393
686,0.999036
687,0.998994
688,0.999032
689,0.999096
690,0.999118
691,0.998989
692,0.999058
693,0.999225
694,0.999024
695,0.999291
696,0.999384
697,0.999998
698,1
699,1
700,1
701,1
702,1
703,1
704,1
705,0.999992
706,0.999898
707,0.999992
708,1
709,1
710,1
711,1
712,1
713,1
714,1
715,1
716,1
717,1
718,1
719,1
720,1
721,1
722,1
723,1
724,1
725,1
726,1
727,1
728,1
729,1
730,1
731,1
732,1
733,0.998846
734,0.998467
735,0.998559
736,0.998611
737,0.998831
738,1
739,1
740,1
741,1
742,1
743,1
744,1
745,1
746,1
747,1
748,0.999996
749,1
750,1
751,1
752,1
753,1
754,0.999999
755,1
756,1
757,0.999896
758,0.999013
759,0.998884
760,0.998612
761,0.998437
762,1
763,1
764,0.999958
765,1
766,1
767,1
768,1
769,1
770,0.99824
771,0.998081
772,0.998094
773,0.998075
774,0.997863
775,0.998464
776,0.998594
777,0.998552
778,0.999435
779,1
780,1
781,1
782,1
783,1
784,1
785,1
786,1
787,1
788,1
789,1
790,1
791,1
792,1
793,1
794,1
795,1
796,0.9989
797,0.998898
798,1
799,1
800,1
801,0.999991
802,1
803,1
804,1
805,1
806,0.999555
807,0.999023
808,0.999035
809,0.998957
810,0.998986
811,1
812,1
813,1
814,1
815,1
816,0.999726
817,0.99847
818,0.998463
819,1
820,1
821,1
822,1
823,1
824,1
825,1
826,1
827,1
828,1
829,0.999062
830,0.999135
831,0.999688
832,1
833,1
834,1
835,0.998854
836,0.998396
837,0.998814
838,0.998307
839,0.9985
840,0.998795
841,0.999799
842,0.999563
843,0.999337
844,1
845,1
846,1
847,1
848,1
849,1
850,0.999998
851,1
852,1
853,1
854,1
855,1
856,1
857,1
858,1
859,1
860,1
861,1
862,1
863,0.999816
864,0.999551
865,0.99994
866,1
867,1
868,1
869,1
870,1
871,1
872,1
873,1
874,1
875,1
876,0.999183
877,0.998676
878,1
879,1
880,0.999977
881,0.999931
882,0.998286
883,0.998482
884,0.999224
885,0.999005
886,1
887,1
888,1
889,1
890,1
891,1
892,1
893,1
894,1
895,1
896,1
897,1
898,1
899,1
900,1
901,1
902,1
903,1
904,1
905,1
906,0.999622
907,0.999778
908,0.999636
909,0.999561
910,0.999547
911,0.999565
912,0.99984
913,1
914,1
915,1
916,0.999282
917,0.999041
918,0.998816
919,0.998648
920,0.999221
921,1
922,1
923,1
924,1
925,1
926,1
927,1
928,1
929,1
930,1
931,1
932,0.999695
933,0.998887
934,0.99891
935,0.999137
936,0.999289
937,0.999234
938,0.998434
939,0.998429
940,0.998572
941,1
942,1
943,1
944,1
945,1
946,1
947,1
948,1
949,1
950,1
951,0.998889
952,0.99948
953,0.99889
954,0.998838
955,0.999793
956,1
957,1
958,1
959,1
960,1
961,1
962,1
963,1
964,1
965,1
966,1
967,1
968,1
969,1
970,0.999008
971,0.999397
972,1
973,1
974,1
975,1
976,1
977,1
978,1
979,1
980,1
981,1
982,1
983,1
984,1
985,1
986,1
987,1
988,1
989,1
990,1
991,1
992,1
993,1
994,1
995,1
996,1
997,1
998,1
999,1
1000,1
1001,0.999948
1002,0.9996
1003,0.998909
1004,1
1005,1
1006,1
1007,1
1008,1
1009,1
1010,1
1011,1
1012,1
1013,1
1014,1
1015,1
1016,1
1017,1
1018,1
1019,1
1020,1
1021,1
1022,1
1023,1
1024,1
1025,1
1026,1
1027,1
1028,1
1029,1
1030,1
1031,1
1032,1
1033,1
1034,1
1035,1
1036,0.999699
1037,0.998956
1038,0.999226
1039,1
1040,1
1041,1
1042,1
1043,1
1044,1
1045,1
1046,0.99939
1047,0.998188
1048,0.998813
1049,1
1050,0.999403
1051,0.998276
1052,0.998899
1053,1
1054,1
1055,0.999998
1056,1
1057,1
1058,1
1059,1
1060,1
1061,1
1062,1
1063,1
1064,1
1065,1
1066,0.999998
1067,0.999493
1068,0.999293
1069,0.999224
1070,0.99885
1071,0.999969
1072,1
1073,1
1074,1
1075,1
1076,1
1077,1
1078,1
1079,1
1080,1
1081,1
1082,1
1083,0.99894
1084,0.99815
1085,0.999416
1086,1
1087,0.999135
1088,0.998866
1089,0.998777
1090,0.998879
1091,0.99951
1092,1
1093,0.999982
1094,0.999947
1095,0.998854
1096,0.998467
1097,0.998799
1098,0.998764
1099,0.998831
1100,0.997696
1101,0.998566
1102,0.998419
1103,0.998723
1104,0.998586
1105,0.998847
1106,1
1107,1
1108,1
1109,1
1110,1
1111,1
1112,1
1113,0.999553
1114,0.998883
1115,0.999132
1116,1
1117,1
1118,1
1119,1
1120,1
1121,1
1122,1
1123,1
1124,1
1125,0.999872
1126,0.999248
1127,0.998643
1128,1
1129,1
1130,1
1131,1
1132,1
1133,1
1134,1
1135,1
1136,1
1137,1
1138,1
1139,1
1140,1
1141,1
1142,1
1143,1
1144,1
1145,1
1146,1
1147,1
1148,1
1149,1
1150,1
1151,1
1152,1
1153,1
1154,1
1155,1
1156,1
1157,1
1158,1
1159,1
1160,1
1161,1
1162,1
1163,1
1164,1
1165,1
1166,1
1167,1
1168,1
1169,1
1170,1
1171,1
1172,0.999176
1173,0.999348
1174,0.998811
1175,1
1176,1
1177,1
1178,1
1179,1
1180,1
1181,1
1182,1
1183,1
1184,1
1185,1
1186,1
1187,1
1188,1
1189,1
1190,1
1191,1
1192,1
1193,1
1194,1
1195,1
1196,1
1197,1
1198,1
1199,1
1200,1
1201,0.998496
1202,0.998331
1203,0.998246
1204,0.998091
1205,0.999488
1206,1
1207,1
1208,1
1209,0.999388
1210,0.998984
1211,0.999193
1212,0.999058
1213,0.999826
1214,0.999617
1215,0.999029
1216,0.998919
1217,0.998335
1218,0.998397
1219,0.998176
1220,0.998126
1221,0.99811
1222,0.998079
1223,0.998325
1224,0.998361
1225,0.998377
1226,0.998536
1227,0.99814
1228,0.998031
1229,0.998044
1230,0.998082
1231,0.998137
1232,0.998424
1233,0.998844
1234,1
1235,1
1236,1
1237,1
1238,1
1239,1
1240,1
1241,1
1242,1
1243,1
1244,1
1245,1
1246,1
1247,1
1248,1
1249,1
1250,1
1251,1
1252,1
1253,1
1254,1
1255,1
1256,0.998768
1257,0.998832
1258,0.9998
1259,1
1260,1
1261,1
1262,1
1263,1
1264,0.999051
1265,0.998946
1266,0.999837
1267,1
1268,1
1269,1
1270,1
1271,1
1272,1
1273,1
1274,0.998912
1275,0.998465
1276,0.998589
1277,0.998536
1278,0.998516
1279,0.998528
1280,0.998502
1281,0.998558
1282,0.999865
1283,1
1284,1
1285,1
1286,0.999109
1287,0.998258
1288,0.998797
1289,1
1290,0.999974
1291,0.999943
1292,0.99966
1293,1
1294,1
1295,1
1296,1
1297,1
1298,1
1299,1
1300,1
1301,1
1302,1
1303,1
1304,1
1305,1
1306,1
1307,1
1308,0.999997
1309,1
1310,0.999994
1311,1
1312,0.999992
1313,0.999999
1314,1
1315,1
1316,1
1317,1
1318,1
1319,1
1320,1
1321,1
1322,1
1323,0.999994
1324,1
1325,1
1326,1
1327,1
1328,1
1329,1
1330,1
1331,0.998758
1332,0.9982
1333,0.998124
1334,0.998227
1335,0.999296
1336,1
1337,1
1338,1
1339,0.99904
1340,0.998201
1341,0.998046
1342,0.997993
1343,0.998931
1344,1
1345,1
1346,1
1347,1
1348,1
1349,1
1350,1
1351,1
1352,1
1353,1
1354,1
1355,1
1356,1
1357,1
1358,1
1359,1
1360,0.999998
1361,0.999999
1362,1
1363,1
1364,1
1365,1
1366,1
1367,0.999814
1368,0.999081
1369,0.999141
1370,0.999103
1371,0.998977
1372,1
1373,1
1374,1
1375,1
1376,1
1377,1
1378,1
1379,1
1380,0.998861
1381,0.998809
1382,0.998755
1383,0.998785
1384,0.999699
1385,1
1386,1
1387,1
1388,1
1389,1
1390,1
1391,1
1392,1
1393,1
1394,1
1395,1
1396,0.999169
1397,0.998691
1398,0.998673
1399,0.998689
1400,0.999945
1401,1
1402,0.999985
1403,0.999904
1404,0.998316
1405,0.998261
1406,0.998195
1407,0.998279
1408,0.998155
1409,0.998355
1410,0.998627
1411,0.998673
1412,0.998972
1413,1
1414,1
1415,1
1416,1
1417,1
1418,1
1419,1
1420,0.999943
1421,0.998756
1422,0.998562
1423,0.998596
1424,0.99862
1425,1
1426,1
1427,1
1428,0.999874
1429,0.998202
1430,0.998317
1431,0.998329
1432,0.998364
1433,0.998459
1434,0.998362
1435,0.998334
1436,0.998235
1437,0.999884
1438,1
1439,1
1440,1
1441,1
1442,1
1443,1
1444,1
1445,1
1446,1
1447,1
1448,1
1449,0.999294
1450,0.999313
1451,0.999594
1452,1
1453,0.999563
1454,0.999037
1455,0.999577
1456,1
1457,0.999771
1458,0.999898
1459,0.99992
1460,0.999234
1461,0.999637
1462,1
1463,1
1464,1
1465,1
1466,1
1467,1
1468,1
1469,1
1470,1
1471,1
1472,1
1473,1
1474,1
1475,0.999528
1476,0.998649
1477,0.998944
1478,1
1479,1
1480,1
1481,1
1482,1
1483,0.999882
1484,0.999327
1485,0.999383
1486,1
1487,1
1488,1
1489,0.999987
1490,1
1491,1
1492,1
1493,1
1494,1
1495,1
1496,1
1497,1
1498,0.998239
1499,0.998071
1500,0.998194
1501,0.998306
1502,0.999766
1503,1
1504,1
1505,1
1506,1
1507,1
1508,1
1509,1
1510,1
1511,1
1512,1
1513,1
1514,1
1515,1
1516,1
1517,1
1518,1
1519,1
1520,1
1521,1
1522,1
1523,1
1524,1
1525,1
1526,1
1527,1
1528,0.999872
1529,0.999687
1530,0.999722
1531,1
1532,1
1533,1
1534,1
1535,1
